,control,tissue_type,Field_county,Updated_Field_Name,Field_lat,Field_long,Cultivar,Plant_lat,Plant_long,Edge_center,Distance_to_hive_m
Co1.1.1,no,stigma,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0911753,-121.9640045,Edge,107.93
Co1.1.10,no,stigma,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0859737,-121.9599276,Edge,772.82
Co1.1.3,no,stigma,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.091142,-121.9596194,Edge,397.94
Co1.1.4,no,stigma,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0907881,-121.9596684,Center,406.78
Co1.1.5,no,stigma,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0898996,-121.960241,Center,412.51
Co1.1.6,no,stigma,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0877376,-121.9632314,Center,495.13
Co1.1.8,no,stigma,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0859175,-121.9639147,Edge,692.6
Co1.2.1,no,seed_pooled,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0911753,-121.9640045,Edge,107.93
Co1.2.10,no,seed_pooled,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0859737,-121.9599276,Edge,772.82
Co1.2.3,no,seed_pooled,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.091142,-121.9596194,Edge,397.94
Co1.2.4,no,seed_pooled,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0907881,-121.9596684,Center,406.78
Co1.2.5,no,seed_pooled,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0898996,-121.960241,Center,412.51
Co1.2.6,no,seed_pooled,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0877376,-121.9632314,Center,495.13
Co1.2.7,no,seed_pooled,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0868312,-121.96363,Center,592
Co1.2.8,no,seed_pooled,Colusa,Co1,39.088222,-121.961861,Crimson_Sweet,39.0859175,-121.9639147,Edge,692.6
Co2.1.1,no,stigma,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0872273,-121.923352,Edge,145.86
Co2.1.2,no,stigma,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.08739,-121.9225235,Edge,72.16
Co2.1.3,no,stigma,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0877426,-121.9206671,Edge,93.04
Co2.1.4,no,stigma,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0872104,-121.9204243,Center,119.73
Co2.1.5,no,stigma,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0865247,-121.9201454,Center,101.7
Co2.1.6,no,stigma,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0827579,-121.921971,Center,34.54
Co2.1.8,no,stigma,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.080959,-121.9213356,Edge,80.62
Co2.1.9,no,stigma,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0811518,-121.9198376,Edge,51.47
Co2.2.1,no,seed_pooled,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0872273,-121.923352,Edge,145.86
Co2.2.10,no,seed_pooled,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0818022,-121.9167282,Edge,136.9
Co2.2.2,no,seed_pooled,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.08739,-121.9225235,Edge,72.16
Co2.2.4,no,seed_pooled,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0872104,-121.9204243,Center,119.73
Co2.2.6,no,seed_pooled,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0827579,-121.921971,Center,34.54
Co2.2.7,no,seed_pooled,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.081815,-121.9217872,Center,73.22
Co2.2.8,no,seed_pooled,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.080959,-121.9213356,Edge,80.62
Co2.2.9,no,seed_pooled,Colusa,Co2,39.0846389,-121.9201944,AU_producer,39.0811518,-121.9198376,Edge,51.47
SJ1.1.1,no,stigma,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7354678,-121.2282934,Edge,77.41
SJ1.1.2,no,stigma,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7354455,-121.2274854,Edge,97.2
SJ1.1.3,no,stigma,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7354951,-121.2266686,Edge,25.5
SJ1.1.4,no,stigma,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7348352,-121.22696,Center,94.55
SJ1.1.5,no,stigma,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7341617,-121.2271893,Center,170.23
SJ1.1.6,no,stigma,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7334274,-121.2277016,Center,176.88
SJ1.1.7,no,stigma,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7327998,-121.227995,Center,121.42
SJ1.1.8,no,stigma,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7323612,-121.2282585,Edge,81.35
SJ1.2.1,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7354678,-121.2282934,Edge,77.41
SJ1.2.10,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7323954,-121.2266247,Edge,28.3
SJ1.2.2,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7354455,-121.2274854,Edge,97.2
SJ1.2.3,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7354951,-121.2266686,Edge,25.5
SJ1.2.4,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7348352,-121.22696,Center,94.55
SJ1.2.5,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7341617,-121.2271893,Center,170.23
SJ1.2.6,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7334274,-121.2277016,Center,176.88
SJ1.2.7,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7327998,-121.227995,Center,121.42
SJ1.2.8,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7323612,-121.2282585,Edge,81.35
SJ1.2.9,no,seed_pooled,San_Joaquin,SJ1,37.732408,-121.226948,Sentinel,37.7323087,-121.2274609,Edge,94.76
SJ2.1.10,no,stigma,San_Joaquin,SJ2,37.891494,-121.092619,Sentinel,37.891111,-121.094444,Edge,201.59
SJ2.1.2,no,stigma,San_Joaquin,SJ2,37.891494,-121.092619,Sentinel,37.891944,-121.093333,Edge,152.54
SJ2.1.3,no,stigma,San_Joaquin,SJ2,37.891494,-121.092619,Sentinel,37.891944,-121.094444,Edge,229.96
SJ2.1.4,no,stigma,San_Joaquin,SJ2,37.891494,-121.092619,Sentinel,37.891667,-121.094444,Center,216.58
