sample_ID,treatment,tissue,Block,Block_lat,Block_long,Block_Distance_to_nearest_beehive_m,sample_number,Date_treated,date_harvested,visit_1,visit_2,visit_3,visit_4,fruit_harvest_weight_g,date_processed,tube_number_for_16S
PE.b1.m1,hand,seed_pooled,1,38.6497645,-121.5679519,53.22,1,7/25/23,8/1/23,NA,NA,NA,NA,2.3,8/9/23,26
PE.b1.m2,hand,seed_pooled,1,38.6497645,-121.5679519,53.22,2,7/25/23,8/1/23,NA,NA,NA,NA,0.9,8/9/23,27
PE.b1.m3,hand,seed_pooled,1,38.6497645,-121.5679519,53.22,3,7/25/23,8/1/23,NA,NA,NA,NA,46.8,8/15/23,28
PE.b1.m4,insect,seed_pooled,1,38.6497645,-121.5679519,53.22,4,7/25/23,8/1/23,honey_bee,honey_bee,honey_bee,honey_bee,130.1,8/15/23,29
PE.b1.m5,insect,seed_pooled,1,38.6497645,-121.5679519,53.22,5,7/25/23,8/1/23,honey_bee,honey_bee,honey_bee,honey_bee,681.3,8/15/23,30
PE.b2.m1,hand,seed_pooled,2,38.6504903,-121.569407,44.28,1,7/25/23,8/1/23,NA,NA,NA,NA,3.1,8/9/23,32
PE.b2.m2,hand,seed_pooled,2,38.6504903,-121.569407,44.28,2,7/27/23,8/3/23,NA,NA,NA,NA,1.1,8/9/23,33
PE.b2.m3,hand,seed_pooled,2,38.6504903,-121.569407,44.28,3,7/27/23,8/3/23,NA,NA,NA,NA,20.5,8/9/23,34
PE.b2.m4,insect,seed_pooled,2,38.6504903,-121.569407,44.28,4,7/25/23,8/1/23,honey_bee,honey_bee,honey_bee,honey_bee,0.8,8/9/23,35
PE.b2.m5,insect,seed_pooled,2,38.6504903,-121.569407,44.28,5,7/27/23,8/3/23,honey_bee,honey_bee,honey_bee,honey_bee,2,8/9/23,36
PE.b2.m6,insect,seed_pooled,2,38.6504903,-121.569407,44.28,6,7/27/23,8/3/23,honey_bee,honey_bee,honey_bee,honey_bee,7.9,8/9/23,37
PE.b3.m1,hand,seed_pooled,3,38.6516193,-121.5692833,166.68,1,7/25/23,8/1/23,NA,NA,NA,NA,175.2,8/10/23,38
PE.b3.m2,hand,seed_pooled,3,38.6516193,-121.5692833,166.68,2,7/27/23,8/3/23,NA,NA,NA,NA,77,8/10/23,39
PE.b3.m3,hand,seed_pooled,3,38.6516193,-121.5692833,166.68,3,7/27/23,8/3/23,NA,NA,NA,NA,59.2,8/10/23,40
PE.b3.m4,insect,seed_pooled,3,38.6516193,-121.5692833,166.68,4,7/25/23,8/1/23,honey_bee,honey_bee,honey_bee,honey_bee,94.6,8/15/23,41
PE.b3.m5,insect,seed_pooled,3,38.6516193,-121.5692833,166.68,5,7/25/23,8/1/23,honey_bee,honey_bee,small_fly,honey_bee,603.4,8/15/23,42
PE.b3.m6,insect,seed_pooled,3,38.6516193,-121.5692833,166.68,6,7/26/23,8/2/23,honey_bee,honey_bee,Agapostemon,honey_bee,30.2,8/10/23,43
PE.b4.m1,hand,seed_pooled,4,38.6516128,-121.5685671,188.83,1,7/25/23,8/1/23,NA,NA,NA,NA,1.3,8/9/23,44
PE.b4.m2,hand,seed_pooled,4,38.6516128,-121.5685671,188.83,2,7/25/23,8/1/23,NA,NA,NA,NA,268.8,8/15/23,45
PE.b4.m3,hand,seed_pooled,4,38.6516128,-121.5685671,188.83,3,7/26/23,8/2/23,NA,NA,NA,NA,0.4,8/9/23,46
PE.b4.m5,insect,seed_pooled,4,38.6516128,-121.5685671,188.83,4,7/25/23,8/1/23,honey_bee,honey_bee,honey_bee,honey_bee,2.8,8/10/23,48
PE.b4.m6,insect,seed_pooled,4,38.6516128,-121.5685671,188.83,5,7/26/23,8/2/23,honey_bee,honey_bee,honey_bee,honey_bee,76.3,8/10/23,49
PE.b4.m7,insect,seed_pooled,4,38.6516128,-121.5685671,188.83,6,7/26/23,8/2/23,honey_bee,honey_bee,honey_bee,honey_bee,1.4,8/9/23,50
PE.b1.bee,NA,bee_pooled,1,38.6497645,-121.5679519,53.22,NA,NA,7/25/23,NA,NA,NA,NA,NA,8/9/23,51
PE.b2.bee,NA,bee_pooled,2,38.6504903,-121.569407,44.28,NA,NA,7/25/23,NA,NA,NA,NA,NA,8/9/23,52
PE.b3.bee,NA,bee_pooled,3,38.6516193,-121.5692833,166.68,NA,NA,7/25/23,NA,NA,NA,NA,NA,8/9/23,53
PE.b4.bee,NA,bee_pooled,4,38.6516128,-121.5685671,188.83,NA,NA,7/25/23,NA,NA,NA,NA,NA,8/9/23,54
