Microbe,fruit_rep,slice,fruit_half,date_inoc,date_plated,turbid_count,turbid_percent
AcAAC001R,1,1,near,11/29/23,12/7/23,0,0
AcAAC001R,1,2,near,11/29/23,12/7/23,0,0
AcAAC001R,1,3,near,11/29/23,12/7/23,0,0
AcAAC001R,2,1,near,11/29/23,12/7/23,2,25
AcAAC001R,2,2,near,11/29/23,12/7/23,1,12.5
AcAAC001R,2,3,near,11/29/23,12/7/23,1,12.5
AcAAC001R,3,1,near,11/30/23,12/7/23,0,0
AcAAC001R,3,2,near,11/30/23,12/7/23,0,0
AcAAC001R,3,3,near,11/30/23,12/7/23,0,0
AcAAC001R,4,1,near,12/8/23,12/19/23,0,0
AcAAC001R,4,2,near,12/8/23,12/19/23,0,0
AcAAC001R,4,3,near,12/8/23,12/19/23,0,0
AcAAC001R,5,1,near,12/8/23,12/19/23,0,0
AcAAC001R,5,2,near,12/8/23,12/19/23,0,0
AcAAC001R,5,3,near,12/8/23,12/19/23,0,0
AcAAC001R,1,4,far,11/29/23,12/7/23,0,0
AcAAC001R,1,5,far,11/29/23,12/7/23,0,0
AcAAC001R,1,6,far,11/29/23,12/7/23,0,0
AcAAC001R,2,4,far,11/29/23,12/7/23,0,0
AcAAC001R,2,5,far,11/29/23,12/7/23,0,0
AcAAC001R,2,6,far,11/29/23,12/7/23,2,25
AcAAC001R,3,4,far,11/30/23,12/7/23,0,0
AcAAC001R,3,5,far,11/30/23,12/7/23,0,0
AcAAC001R,3,6,far,11/30/23,12/7/23,0,0
AcAAC001R,4,4,far,12/8/23,12/19/23,0,0
AcAAC001R,4,5,far,12/8/23,12/19/23,0,0
AcAAC001R,4,6,far,12/8/23,12/19/23,0,0
AcAAC001R,5,4,far,12/8/23,12/19/23,0,0
AcAAC001R,5,5,far,12/8/23,12/19/23,0,0
AcAAC001R,5,6,far,12/8/23,12/19/23,0,0
AcM6R,1,1,near,11/22/23,11/29/23,0,0
AcM6R,1,2,near,11/22/23,11/29/23,0,0
AcM6R,1,3,near,11/22/23,11/29/23,0,0
AcM6R,2,1,near,11/22/23,11/29/23,0,0
AcM6R,2,2,near,11/22/23,11/29/23,0,0
AcM6R,2,3,near,11/22/23,11/29/23,0,0
AcM6R,3,1,near,11/22/23,11/29/23,0,0
AcM6R,3,2,near,11/22/23,11/29/23,0,0
AcM6R,3,3,near,11/22/23,11/29/23,0,0
AcM6R,4,1,near,11/22/23,11/29/23,0,0
AcM6R,4,2,near,11/22/23,11/29/23,0,0
AcM6R,4,3,near,11/22/23,11/29/23,0,0
AcM6R,1,4,far,11/22/23,11/29/23,0,0
AcM6R,1,5,far,11/22/23,11/29/23,0,0
AcM6R,1,6,far,11/22/23,11/29/23,0,0
AcM6R,2,4,far,11/22/23,11/29/23,0,0
AcM6R,2,5,far,11/22/23,11/29/23,0,0
AcM6R,2,6,far,11/22/23,11/29/23,0,0
AcM6R,3,4,far,11/22/23,11/29/23,0,0
AcM6R,3,5,far,11/22/23,11/29/23,0,0
AcM6R,3,6,far,11/22/23,11/29/23,0,0
AcM6R,4,4,far,11/22/23,11/29/23,0,0
AcM6R,4,5,far,11/22/23,11/29/23,0,0
AcM6R,4,6,far,11/22/23,11/29/23,0,0
Bacillus,1,1,near,1/4/24,1/12/24,0,0
Bacillus,1,2,near,1/4/24,1/12/24,0,0
Bacillus,1,3,near,1/4/24,1/12/24,0,0
Bacillus,2,1,near,1/23/24,1/31/24,0,0
Bacillus,2,2,near,1/23/24,1/31/24,0,0
Bacillus,2,3,near,1/23/24,1/31/24,0,0
Bacillus,3,1,near,2/1/24,2/9/24,0,0
Bacillus,3,2,near,2/1/24,2/9/24,0,0
Bacillus,3,3,near,2/1/24,2/9/24,0,0
Bacillus,4,1,near,2/1/24,2/9/24,0,0
Bacillus,4,2,near,2/1/24,2/9/24,0,0
Bacillus,4,3,near,2/1/24,2/9/24,0,0
Bacillus,1,4,far,1/4/24,1/12/24,0,0
Bacillus,1,5,far,1/4/24,1/12/24,0,0
Bacillus,1,6,far,1/4/24,1/12/24,0,0
Bacillus,2,4,far,1/23/24,1/31/24,0,0
Bacillus,2,5,far,1/23/24,1/31/24,0,0
Bacillus,2,6,far,1/23/24,1/31/24,0,0
Bacillus,3,4,far,2/1/24,2/9/24,0,0
Bacillus,3,5,far,2/1/24,2/9/24,0,0
Bacillus,3,6,far,2/1/24,2/9/24,0,0
Bacillus,4,4,far,2/1/24,2/9/24,0,0
Bacillus,4,5,far,2/1/24,2/9/24,0,0
Bacillus,4,6,far,2/1/24,2/9/24,0,0
E.coli,1,1,near,12/8/23,12/19/23,0,0
E.coli,1,2,near,12/8/23,12/19/23,0,0
E.coli,1,3,near,12/8/23,12/19/23,0,0
E.coli,2,1,near,12/8/23,12/19/23,0,0
E.coli,2,2,near,12/8/23,12/19/23,0,0
E.coli,2,3,near,12/8/23,12/19/23,0,0
E.coli,3,1,near,1/4/24,1/12/24,1,12.5
E.coli,3,2,near,1/4/24,1/12/24,0,0
E.coli,3,3,near,1/4/24,1/12/24,3,37.5
